DEBUG    | 2026-04-06 01:37:22,483 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429737,"pa...r_index":0,"cars":[]}}}' [6228 bytes]
DEBUG    | 2026-04-06 01:37:22,504 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429738,"pa...r_index":0,"cars":[]}}}' [6245 bytes]
DEBUG    | 2026-04-06 01:37:22,523 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429739,"pa...r_index":0,"cars":[]}}}' [6230 bytes]
DEBUG    | 2026-04-06 01:37:22,544 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429740,"pa...r_index":0,"cars":[]}}}' [6239 bytes]
DEBUG    | 2026-04-06 01:37:22,563 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429741,"pa...r_index":0,"cars":[]}}}' [6253 bytes]
DEBUG    | 2026-04-06 01:37:22,584 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429742,"pa...r_index":0,"cars":[]}}}' [6242 bytes]
DEBUG    | 2026-04-06 01:37:22,604 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429743,"pa...r_index":0,"cars":[]}}}' [6233 bytes]
DEBUG    | 2026-04-06 01:37:22,624 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429744,"pa...r_index":0,"cars":[]}}}' [6236 bytes]
DEBUG    | 2026-04-06 01:37:22,644 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429745,"pa...r_index":0,"cars":[]}}}' [6231 bytes]
DEBUG    | 2026-04-06 01:37:22,663 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429746,"pa...r_index":0,"cars":[]}}}' [6227 bytes]
DEBUG    | 2026-04-06 01:37:22,684 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429747,"pa...r_index":0,"cars":[]}}}' [6240 bytes]
DEBUG    | 2026-04-06 01:37:22,705 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429748,"pa...r_index":0,"cars":[]}}}' [6238 bytes]
INFO     | 2026-04-06 01:37:22,717 | uvicorn.access | 127.0.0.1:52783 - "GET /status HTTP/1.1" 200
DEBUG    | 2026-04-06 01:37:22,726 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429749,"pa...r_index":0,"cars":[]}}}' [6247 bytes]
DEBUG    | 2026-04-06 01:37:22,745 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429750,"pa...r_index":0,"cars":[]}}}' [6244 bytes]
DEBUG    | 2026-04-06 01:37:22,765 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429751,"pa...r_index":0,"cars":[]}}}' [6231 bytes]
DEBUG    | 2026-04-06 01:37:22,784 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429752,"pa...r_index":0,"cars":[]}}}' [6251 bytes]
DEBUG    | 2026-04-06 01:37:22,804 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429753,"pa...r_index":0,"cars":[]}}}' [6242 bytes]
DEBUG    | 2026-04-06 01:37:22,825 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429754,"pa...r_index":0,"cars":[]}}}' [6245 bytes]
DEBUG    | 2026-04-06 01:37:22,845 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429755,"pa...r_index":0,"cars":[]}}}' [6239 bytes]
DEBUG    | 2026-04-06 01:37:22,867 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429756,"pa...r_index":0,"cars":[]}}}' [6237 bytes]
DEBUG    | 2026-04-06 01:37:22,888 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429757,"pa...r_index":0,"cars":[]}}}' [6242 bytes]
DEBUG    | 2026-04-06 01:37:22,908 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429758,"pa...r_index":0,"cars":[]}}}' [6242 bytes]
DEBUG    | 2026-04-06 01:37:22,929 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429759,"pa...r_index":0,"cars":[]}}}' [6255 bytes]
DEBUG    | 2026-04-06 01:37:22,948 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429760,"pa...r_index":0,"cars":[]}}}' [6253 bytes]
DEBUG    | 2026-04-06 01:37:22,969 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429761,"pa...r_index":0,"cars":[]}}}' [6249 bytes]
DEBUG    | 2026-04-06 01:37:22,989 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429762,"pa...r_index":0,"cars":[]}}}' [6235 bytes]
DEBUG    | 2026-04-06 01:37:23,010 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429763,"pa...r_index":0,"cars":[]}}}' [6162 bytes]
DEBUG    | 2026-04-06 01:37:23,031 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429764,"pa...r_index":0,"cars":[]}}}' [6160 bytes]
DEBUG    | 2026-04-06 01:37:23,049 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429765,"pa...r_index":0,"cars":[]}}}' [6158 bytes]
DEBUG    | 2026-04-06 01:37:23,070 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429766,"pa...r_index":0,"cars":[]}}}' [6157 bytes]
DEBUG    | 2026-04-06 01:37:23,090 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429767,"pa...r_index":0,"cars":[]}}}' [6164 bytes]
DEBUG    | 2026-04-06 01:37:23,110 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429768,"pa...r_index":0,"cars":[]}}}' [6160 bytes]
